iter	Passed	Remaining
622	3495	2115
623	3500	2109
624	3505	2103
625	3510	2097
626	3515	2091
627	3519	2084
628	3524	2078
629	3528	2072
630	3533	2066
631	3537	2060
632	3542	2053
633	3547	2047
634	3552	2041
635	3556	2035
636	3561	2029
637	3565	2023
638	3570	2017
639	3574	2010
640	3579	2004
641	3583	1998
642	3587	1992
643	3592	1985
644	3596	1979
645	3601	1973
646	3605	1967
647	3610	1961
648	3615	1955
649	3619	1949
650	3624	1942
651	3628	1936
652	3633	1930
653	3637	1924
654	3641	1918
655	3646	1912
656	3651	1906
657	3655	1899
658	3660	1893
659	3664	1887
660	3668	1881
661	3673	1875
662	3677	1869
663	3682	1863
664	3687	1857
665	3691	1851
666	3696	1845
667	3700	1839
668	3705	1833
669	3709	1827
670	3714	1821
671	3719	1815
672	3723	1809
673	3728	1803
674	3732	1797
675	3737	1791
676	3741	1784
677	3745	1778
678	3749	1772
679	3754	1766
680	3758	1760
681	3763	1754
682	3767	1748
683	3772	1742
684	3777	1737
685	3782	1731
686	3787	1725
687	3792	1719
688	3796	1713
689	3801	1707
690	3806	1702
691	3811	1696
692	3815	1690
693	3820	1684
694	3824	1678
695	3829	1672
696	3834	1666
697	3838	1660
698	3843	1655
699	3848	1649
700	3853	1643
701	3857	1637
702	3862	1631
703	3867	1626
704	3873	1620
705	3878	1614
706	3883	1609
707	3887	1603
708	3892	1597
709	3896	1591
710	3901	1585
711	3906	1580
712	3910	1574
713	3915	1568
714	3919	1562
715	3924	1556
716	3928	1550
717	3933	1544
718	3937	1538
719	3942	1533
720	3947	1527
721	3951	1521
722	3955	1515
723	3960	1509
724	3964	1503
725	3968	1497
726	3973	1492
727	3977	1486
728	3982	1480
729	3987	1474
730	3991	1468
731	3996	1463
732	4000	1457
733	4005	1451
734	4009	1445
735	4014	1439
736	4018	1434
737	4023	1428
738	4027	1422
739	4031	1416
740	4036	1410
741	4040	1405
742	4045	1399
743	4050	1393
744	4054	1387
745	4060	1382
746	4064	1376
747	4068	1370
748	4073	1365
749	4077	1359
750	4082	1353
751	4087	1347
752	4091	1342
753	4095	1336
754	4100	1330
755	4104	1324
756	4109	1319
757	4113	1313
758	4118	1307
759	4123	1302
760	4128	1296
761	4133	1291
762	4137	1285
763	4142	1279
764	4147	1274
765	4151	1268
766	4156	1262
767	4161	1256
768	4165	1251
769	4170	1245
770	4174	1239
